,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
207152,1000,2006.0,good,6.0,200000.0,missing,automatic,fwd,sedan,mi,impala
208229,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
208629,1750,1999.0,good,8.0,200000.0,missing,automatic,4wd,pickup,mi,f150
208958,1900,1999.0,good,8.0,200000.0,missing,automatic,4wd,pickup,mi,f150
209074,9995,2014.0,Not Specified,6.0,124383.0,missing,automatic,Not Specified,Not Specified,mi,explorer
209490,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
210030,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
210257,6995,2012.0,Not Specified,8.0,215149.0,missing,automatic,Not Specified,Not Specified,mi,ford
211529,7500,1962.0,good,6.0,50000.0,missing,automatic,Not Specified,Not Specified,mn,impala
211645,1000,1995.0,Not Specified,6.0,175000.0,missing,automatic,Not Specified,Not Specified,mn,cherokee
211699,4000,1937.0,fair,6.0,60000.0,missing,manual,rwd,truck,mn,chevrolet
212197,2500,1968.0,salvage,8.0,1000000.0,missing,automatic,rwd,Not Specified,mn,buick
212862,2200,2005.0,Not Specified,6.0,167000.0,missing,automatic,Not Specified,Not Specified,mn,mercury
215211,250,2000.0,Not Specified,6.0,400000.0,missing,automatic,Not Specified,Not Specified,mn,taurus
215214,1500,1947.0,Not Specified,6.0,76000.0,missing,other,Not Specified,Not Specified,mn,ford
215663,950,1990.0,salvage,4.0,20000.0,missing,other,Not Specified,Not Specified,mn,volkswagen
216400,900,1976.0,fair,8.0,109000.0,missing,automatic,4wd,pickup,mn,f150
217319,6500,1941.0,fair,8.0,9999999.0,missing,manual,rwd,pickup,mn,ford
218546,6000,2013.0,Not Specified,6.0,120753.0,missing,automatic,Not Specified,SUV,ms,cadillac
221213,1200,1965.0,Not Specified,6.0,1000000.0,missing,manual,Not Specified,Not Specified,mo,ford
221380,3250,1986.0,good,8.0,99999.0,missing,manual,rwd,truck,mo,chevrolet
221610,800,1954.0,fair,8.0,100000.0,missing,automatic,Not Specified,sedan,mo,ford
221660,2000,1957.0,Not Specified,8.0,999999.0,missing,other,Not Specified,Not Specified,mo,chevrolet
221662,2000,1963.0,Not Specified,8.0,99999.0,missing,manual,Not Specified,Not Specified,mo,impala
221663,4000,1966.0,Not Specified,8.0,99999.0,missing,manual,Not Specified,Not Specified,mo,pontiac
221666,3800,1951.0,Not Specified,8.0,77777.0,missing,other,Not Specified,Not Specified,mo,cadillac
221690,5000,1978.0,fair,8.0,1.0,missing,manual,4wd,truck,mo,chevrolet
221736,750,2009.0,Not Specified,6.0,180000.0,missing,automatic,Not Specified,Not Specified,mo,impala
221796,1800,1970.0,Not Specified,8.0,66000.0,missing,automatic,Not Specified,Not Specified,mo,pontiac
222474,1900,1958.0,Not Specified,6.0,99999.0,missing,other,Not Specified,Not Specified,mo,chevrolet
222475,2500,1966.0,Not Specified,6.0,99999.0,missing,automatic,Not Specified,Not Specified,mo,charger
222476,6000,1923.0,Not Specified,8.0,11.0,missing,automatic,Not Specified,Not Specified,mo,ford
222987,1600,1963.0,Not Specified,6.0,99999.0,missing,automatic,Not Specified,Not Specified,mo,ford
225655,3250,1955.0,Not Specified,5.0,72543.0,missing,manual,Not Specified,Not Specified,mt,jeep
225897,3450,1956.0,Not Specified,8.0,100000.0,missing,manual,Not Specified,Not Specified,mt,ford
226715,11000,1981.0,good,8.0,62000.0,missing,automatic,Not Specified,truck,mt,gmc
226899,4000,1958.0,Not Specified,6.0,12345.0,missing,automatic,Not Specified,Not Specified,mt,ford
227906,2000,1956.0,Not Specified,8.0,82000.0,missing,manual,Not Specified,Not Specified,mt,ford
227939,700,1964.0,fair,6.0,51000.0,missing,manual,rwd,pickup,mt,ford
227962,1234,1974.0,good,6.0,12345.0,missing,manual,4wd,offroad,mt,jeep
228037,3800,1966.0,Not Specified,8.0,100000.0,missing,automatic,Not Specified,Not Specified,mt,buick
